currency;trading_date;settlement_date;minimum;maximum;last
USD;01/03/2011;01/05/2011;1.6437;1.6640;1.6501
USD;01/04/2011;01/06/2011;1.6510;1.6712;1.6616
USD;01/05/2011;01/07/2011;1.6605;1.6763;1.6760
USD;01/06/2011;01/10/2011;1.6730;1.6940;1.6873
USD;01/07/2011;01/11/2011;1.6775;1.6920;1.6830
USD;01/10/2011;01/12/2011;1.6850;1.6960;1.6868
USD;01/11/2011;01/13/2011;1.6849;1.6930;1.6859
USD;01/12/2011;01/14/2011;1.6720;1.6835;1.6740
USD;01/13/2011;01/18/2011;1.6660;1.6780;1.6702
USD;01/14/2011;01/19/2011;1.6805;1.6910;1.6845
USD;01/17/2011;01/19/2011;1.6785;1.6850;1.6815
USD;01/18/2011;01/20/2011;1.6710;1.6770;1.6762
USD;01/19/2011;01/21/2011;1.6660;1.6735;1.6715
USD;01/20/2011;01/24/2011;1.6658;1.6780;1.6725
USD;01/21/2011;01/25/2011;1.6670;1.6764;1.6702
USD;01/24/2011;01/26/2011;1.6680;1.6770;1.6715
USD;01/25/2011;01/27/2011;1.6680;1.6775;1.6740
USD;01/26/2011;01/28/2011;1.6670;1.6710;1.6688
USD;01/27/2011;01/31/2011;1.6628;1.6792;1.6787
USD;01/28/2011;02/01/2011;1.6730;1.6870;1.6776
USD;01/31/2011;02/02/2011;1.6700;1.6790;1.6739
USD;02/01/2011;02/03/2011;1.6590;1.6680;1.6660
USD;02/02/2011;02/04/2011;1.6625;1.6705;1.6666
USD;02/03/2011;02/07/2011;1.6655;1.6735;1.6696
USD;02/04/2011;02/08/2011;1.6654;1.6780;1.6735
USD;02/07/2011;02/09/2011;1.6720;1.6800;1.6784
USD;02/08/2011;02/10/2011;1.6625;1.6785;1.6660
USD;02/09/2011;02/11/2011;1.6580;1.6710;1.6600
USD;02/10/2011;02/14/2011;1.6632;1.6712;1.6682
USD;02/11/2011;02/15/2011;1.6630;1.6760;1.6650
USD;02/14/2011;02/16/2011;1.6650;1.6701;1.6676
USD;02/15/2011;02/17/2011;1.6635;1.6715;1.6687
USD;02/16/2011;02/18/2011;1.6660;1.6750;1.6700
USD;02/17/2011;02/22/2011;1.6590;1.6720;1.6617
USD;02/18/2011;02/23/2011;1.6611;1.6700;1.6633
USD;02/21/2011;02/23/2011;1.6625;1.6690;1.6670
USD;02/22/2011;02/24/2011;1.6640;1.6727;1.6727
