;Commodity;Contract month;Previous settlement price (*);Current settlement price;Variation;Settlement value per contract (R$);Dia;Mes;Ano;Data Input
0;AUD - Australian dollar;F12;1891.391;1897.465;6.074;364.44;29;12;2011;12/29/2011
1;AUD - Australian dollar;G12;1897.225;1897.087;-0.138;8.28;29;12;2011;12/29/2011
2;B20 - Global 2020;F12;167.9375;166.7;-1.2375;1160.65;29;12;2011;12/29/2011
3;B20 - Global 2020;J12;164.875;163.5937;-1.2813;1201.73;29;12;2011;12/29/2011
4;B40 - Global 2040;F12;132.6562;132.55;-0.1062;99.6;29;12;2011;12/29/2011
5;B40 - Global 2040;J12;130.0;129.875;-0.125;117.23;29;12;2011;12/29/2011
6;BGI - Live cattle;Z11;101.36;101.23;-0.13;42.9;29;12;2011;12/29/2011
7;BGI - Live cattle;F12;99.11;98.77;-0.34;112.2;29;12;2011;12/29/2011
8;BGI - Live cattle;G12;98.4;98.3;-0.1;33.0;29;12;2011;12/29/2011
9;BGI - Live cattle;H12;97.5;97.23;-0.27;89.1;29;12;2011;12/29/2011
10;BGI - Live cattle;J12;96.65;96.25;-0.4;132.0;29;12;2011;12/29/2011
11;BGI - Live cattle;K12;96.25;95.78;-0.47;155.1;29;12;2011;12/29/2011
12;BGI - Live cattle;N12;98.0;97.71;-0.29;95.7;29;12;2011;12/29/2011
13;BGI - Live cattle;V12;100.87;100.74;-0.13;42.9;29;12;2011;12/29/2011
14;CAD - Canadian dollar;F12;1832.695;1835.78;3.085;185.1;29;12;2011;12/29/2011
15;CAD - Canadian dollar;G12;1843.474;1838.579;-4.895;293.7;29;12;2011;12/29/2011
16;CCM - Cash- Settled Corn Futures;F12;30.39;30.25;-0.14;63.0;29;12;2011;12/29/2011
17;CCM - Cash- Settled Corn Futures;H12;27.9;27.73;-0.17;76.5;29;12;2011;12/29/2011
18;CCM - Cash- Settled Corn Futures;K12;26.64;26.44;-0.2;90.0;29;12;2011;12/29/2011
19;CCM - Cash- Settled Corn Futures;U12;26.69;26.55;-0.14;63.0;29;12;2011;12/29/2011
20;CHF - SWISS FRANC;F12;1989.326;1991.708;2.382;119.1;29;12;2011;12/29/2011
21;CHF - SWISS FRANC;G12;2000.81;1994.541;-6.269;313.45;29;12;2011;12/29/2011
22;CLP - CHILEAN PESO;F12;3595.084;3607.655;12.571;314.27;29;12;2011;12/29/2011
23;CNY - YUAN;F12;2967.043;2968.177;1.134;39.69;29;12;2011;12/29/2011
24;DAP - ID x IPCA spread;Q12;97395.6;97360.92;-34.68;11.62;29;12;2011;12/29/2011
25;DAP - ID x IPCA spread;K13;94288.06;94254.48;-33.58;61.98;29;12;2011;12/29/2011
26;DAP - ID x IPCA spread;Q14;87886.88;87855.58;-31.3;77.26;29;12;2011;12/29/2011
27;DAP - ID x IPCA spread;K15;84519.42;84489.32;-30.1;232.78;29;12;2011;12/29/2011
28;DAP - ID x IPCA spread;K17;75704.04;75677.08;-26.96;199.62;29;12;2011;12/29/2011
29;DAP - ID x IPCA spread;Q20;62957.49;62935.07;-22.42;177.93;29;12;2011;12/29/2011
30;DDI - ID x US Dollar spread;F12;100000.2;100583.27;583.07;9.48;29;12;2011;12/29/2011
31;DDI - ID x US Dollar spread;G12;99342.44;99921.67;579.23;414.17;29;12;2011;12/29/2011
32;DDI - ID x US Dollar spread;H12;99161.75;99739.93;578.18;400.31;29;12;2011;12/29/2011
33;DDI - ID x US Dollar spread;J12;98932.11;99508.95;576.84;399.47;29;12;2011;12/29/2011
34;DDI - ID x US Dollar spread;N12;98252.74;98825.62;572.88;392.42;29;12;2011;12/29/2011
35;DDI - ID x US Dollar spread;V12;97536.59;98105.29;568.7;381.68;29;12;2011;12/29/2011
